rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,final_draft_uri,draft_uri,draft_name,lineage_depth,rev,submission_date,state,publication_year
/api/v1/doc/document/rfc5137/,5137,rfc5137,ASCII Escaping of Unicode Characters,2008-02-23 01:13:06+00:00,/api/v1/doc/document/draft-klensin-unicode-escapes/,/api/v1/doc/document/draft-klensin-unicode-escapes/,draft-klensin-unicode-escapes,0,04,2007-10-01,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5137/,5137,rfc5137,ASCII Escaping of Unicode Characters,2008-02-23 01:13:06+00:00,/api/v1/doc/document/draft-klensin-unicode-escapes/,/api/v1/doc/document/draft-klensin-unicode-escapes/,draft-klensin-unicode-escapes,0,05,2007-10-05,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5137/,5137,rfc5137,ASCII Escaping of Unicode Characters,2008-02-23 01:13:06+00:00,/api/v1/doc/document/draft-klensin-unicode-escapes/,/api/v1/doc/document/draft-klensin-unicode-escapes/,draft-klensin-unicode-escapes,0,06,2007-10-11,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5137/,5137,rfc5137,ASCII Escaping of Unicode Characters,2008-02-23 01:13:06+00:00,/api/v1/doc/document/draft-klensin-unicode-escapes/,/api/v1/doc/document/draft-klensin-unicode-escapes/,draft-klensin-unicode-escapes,0,07,2007-11-17,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5139/,5139,rfc5139,Revised Civic Location Format for Presence Information Data Format Location Object (PIDF-LO),2008-02-23 01:13:57+00:00,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,draft-ietf-geopriv-revised-civic-lo,0,06,2007-10-17,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5139/,5139,rfc5139,Revised Civic Location Format for Presence Information Data Format Location Object (PIDF-LO),2008-02-23 01:13:57+00:00,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,/api/v1/doc/document/draft-ietf-geopriv-revised-civic-lo/,draft-ietf-geopriv-revised-civic-lo,0,07,2007-12-06,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5148/,5148,rfc5148,Jitter Considerations in Mobile Ad Hoc Networks (MANETs),2008-02-27 19:39:22+00:00,/api/v1/doc/document/draft-ietf-manet-jitter/,/api/v1/doc/document/draft-ietf-manet-jitter/,draft-ietf-manet-jitter,0,03,2007-11-19,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5148/,5148,rfc5148,Jitter Considerations in Mobile Ad Hoc Networks (MANETs),2008-02-27 19:39:22+00:00,/api/v1/doc/document/draft-ietf-manet-jitter/,/api/v1/doc/document/draft-ietf-manet-jitter/,draft-ietf-manet-jitter,0,04,2007-12-04,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5149/,5149,rfc5149,Service Selection for Mobile IPv6,2008-02-27 19:39:34+00:00,/api/v1/doc/document/draft-korhonen-mip6-service/,/api/v1/doc/document/draft-korhonen-mip6-service/,draft-korhonen-mip6-service,0,03,2007-09-27,/api/v1/name/draftsubmissionstatename/posted/,2008
/api/v1/doc/document/rfc5149/,5149,rfc5149,Service Selection for Mobile IPv6,2008-02-27 19:39:34+00:00,/api/v1/doc/document/draft-korhonen-mip6-service/,/api/v1/doc/document/draft-korhonen-mip6-service/,draft-korhonen-mip6-service,0,04,2007-10-18,/api/v1/name/draftsubmissionstatename/posted/,2008
