rfc_uri,rfc_number,rfc_name,rfc_title,publication_time,publication_year,final_draft_uri,complete_revision_count,first_recorded_submission,last_recorded_submission,family_draft_count,maximum_lineage_depth,final_draft_revision_count,predecessor_revision_count,recorded_development_days
/api/v1/doc/document/rfc6791/,6791,rfc6791,Stateless Source Address Mapping for ICMPv6 Packets,2012-11-14 08:24:02+00:00,2012,/api/v1/doc/document/draft-ietf-v6ops-ivi-icmp-address/,9,2011-07-25,2012-10-12,2,1,8,1,478
/api/v1/doc/document/rfc6792/,6792,rfc6792,Guidelines for Use of the RTP Monitoring Framework,2012-11-27 08:24:17+00:00,2012,/api/v1/doc/document/draft-ietf-avtcore-monarch/,24,2011-03-03,2012-09-24,2,1,21,3,635
/api/v1/doc/document/rfc6793/,6793,rfc6793,BGP Support for Four-Octet Autonomous System (AS) Number Space,2012-12-19 08:24:22+00:00,2012,/api/v1/doc/document/draft-ietf-idr-rfc4893bis/,8,2009-04-17,2012-06-22,1,0,8,0,1342
/api/v1/doc/document/rfc6794/,6794,rfc6794,A Framework for Session Initiation Protocol (SIP) Session Policies,2012-12-07 08:26:17+00:00,2012,/api/v1/doc/document/draft-ietf-sip-session-policy-framework/,8,2008-04-27,2011-02-18,3,2,8,0,1685
/api/v1/doc/document/rfc6795/,6795,rfc6795,A Session Initiation Protocol (SIP) Event Package for Session-Specific Policies,2012-12-07 08:26:26+00:00,2012,/api/v1/doc/document/draft-ietf-sipping-policy-package/,4,2008-07-12,2010-03-23,2,1,4,0,1609
/api/v1/doc/document/rfc6796/,6796,rfc6796,A User Agent Profile Data Set for Media Policy,2012-12-07 08:26:26+00:00,2012,/api/v1/doc/document/draft-camarillo-rai-media-policy-dataset/,14,2008-07-12,2012-09-25,3,2,5,9,1609
/api/v1/doc/document/rfc6797/,6797,rfc6797,HTTP Strict Transport Security (HSTS),2012-11-20 08:23:24+00:00,2012,/api/v1/doc/document/draft-ietf-websec-strict-transport-sec/,18,2010-06-17,2012-09-29,2,1,15,3,887
/api/v1/doc/document/rfc6798/,6798,rfc6798,RTP Control Protocol (RTCP) Extended Report (XR) Block for Packet Delay Variation Metric Reporting,2012-11-21 08:24:07+00:00,2012,/api/v1/doc/document/draft-ietf-xrblock-rtcp-xr-pdv/,8,2011-09-26,2012-09-25,1,0,8,0,422
/api/v1/doc/document/rfc6801/,6801,rfc6801,Pseudo Content Delivery Protocol (CDP) for Protecting Multiple Source Flows in the Forward Error Correction (FEC) Framework,2012-11-30 08:24:27+00:00,2012,/api/v1/doc/document/draft-ietf-fecframe-pseudo-cdp/,7,2008-07-07,2012-10-16,2,1,6,1,1607
/api/v1/doc/document/rfc6802/,6802,rfc6802,Ericsson Two-Way Active Measurement Protocol (TWAMP) Value-Added Octets,2012-11-27 08:24:18+00:00,2012,/api/v1/doc/document/draft-ietf-ippm-twamp-value-added-octets/,12,2011-09-08,2012-09-26,2,1,10,2,446
